Freq.	V(vout)
4.22242531447325e+002	(1.98394113799853e+001dB,1.69023209066524e+002°)
4.52548339959390e+002	(1.98160911689560e+001dB,1.68256502112999e+002°)
4.85029301283327e+002	(1.97894569133530e+001dB,1.67439471856022e+002°)
5.19841533667990e+002	(1.97590624216444e+001dB,1.66569523186079e+002°)
5.57152360509518e+002	(1.97244088362456e+001dB,1.65644082327340e+002°)
5.97141114583556e+002	(1.96849406021295e+001dB,1.64660636134634e+002°)
6.39999999999999e+002	(1.96400417900223e+001dB,1.63616779349426e+002°)
6.85935016023226e+002	(1.95890330202757e+001dB,1.62510270431749e+002°)
7.35166947198101e+002	(1.95311692885419e+001dB,1.61339096341198e+002°)
7.87932424540745e+002	(1.94656390493949e+001dB,1.60101546267874e+002°)
8.44485062894650e+002	(1.93915649634723e+001dB,1.58796293790890e+002°)
9.05096679918779e+002	(1.93080067498079e+001dB,1.57422486252547e+002°)
9.70058602566653e+002	(1.92139665978083e+001dB,1.55979839280316e+002°)
1.03968306733598e+003	(1.91083975710820e+001dB,1.54468733389350e+002°)
1.11430472101904e+003	(1.89902153656824e+001dB,1.52890308510444e+002°)
1.19428222916711e+003	(1.88583136571837e+001dB,1.51246551206876e+002°)
1.28000000000000e+003	(1.87115830773251e+001dB,1.49540368404593e+002°)
1.37187003204645e+003	(1.85489336020591e+001dB,1.47775640836063e+002°)
1.47033389439620e+003	(1.83693198198298e+001dB,1.45957249279273e+002°)
1.57586484908149e+003	(1.81717682060201e+001dB,1.44091067237811e+002°)
1.68897012578930e+003	(1.79554051943959e+001dB,1.42183915079372e+002°)
1.81019335983756e+003	(1.77194845570418e+001dB,1.40243472852182e+002°)
1.94011720513330e+003	(1.74634124323082e+001dB,1.38278151918398e+002°)
2.07936613467196e+003	(1.71867683208551e+001dB,1.36296928914736e+002°)
2.22860944203807e+003	(1.68893205305738e+001dB,1.34309148976086e+002°)
2.38856445833422e+003	(1.65710348926210e+001dB,1.32324308166037e+002°)
2.55999999999999e+003	(1.62320760623334e+001dB,1.30351827192984e+002°)
2.74374006409290e+003	(1.58728013014005e+001dB,1.28400829407509e+002°)
2.94066778879240e+003	(1.54937472342443e+001dB,1.26479935623896e+002°)
3.15172969816298e+003	(1.50956106021967e+001dB,1.24597086561328e+002°)
3.37794025157860e+003	(1.46792244370448e+001dB,1.22759400944094e+002°)
3.62038671967511e+003	(1.42455312997346e+001dB,1.20973073963424e+002°)
3.88023441026661e+003	(1.37955552705026e+001dB,1.19243317363541e+002°)
4.15873226934391e+003	(1.33303742526477e+001dB,1.17574339302545e+002°)
4.45721888407614e+003	(1.28510939039566e+001dB,1.15969359669912e+002°)
4.77712891666844e+003	(1.23588241880596e+001dB,1.14430654882163e+002°)
5.11999999999999e+003	(1.18546591929243e+001dB,1.12959625346704e+002°)
5.48748012818581e+003	(1.13396605370089e+001dB,1.11556878686395e+002°)
5.88133557758480e+003	(1.08148444042622e+001dB,1.10222322289673e+002°)
6.30345939632595e+003	(1.02811720325935e+001dB,1.08955259602766e+002°)
6.75588050315720e+003	(9.73954333031268e+000dB,1.07754485630481e+002°)
7.24077343935023e+003	(9.19079320645244e+000dB,1.06618378210389e+002°)
7.76046882053322e+003	(8.63569016377549e+000dB,1.05544982662984e+002°)
8.31746453868783e+003	(8.07493670544214e+000dB,1.04532088329636e+002°)
8.91443776815229e+003	(7.50917113566942e+000dB,1.03577296257590e+002°)
9.55425783333688e+003	(6.93897038059460e+000dB,1.02678077870482e+002°)
1.02400000000000e+004	(6.36485350943163e+000dB,1.01831824884477e+002°)
1.09749602563716e+004	(5.78728569158597e+000dB,1.01035891015172e+002°)
1.17626711551696e+004	(5.20668237842598e+000dB,1.00287626193731e+002°)
1.26069187926519e+004	(4.62341354634547e+000dB,9.95844040973958e+001°)
1.35117610063144e+004	(4.03780787933029e+000dB,9.89236438225281e+001°)
1.44815468787005e+004	(3.45015680410827e+000dB,9.83028265068972e+001°)
1.55209376410664e+004	(2.86071831936400e+000dB,9.77195076578706e+001°)
1.66349290773757e+004	(2.26972058302777e+000dB,9.71713258763762e+001°)
1.78288755363046e+004	(1.67736523906367e+000dB,9.66560085918788e+001°)
1.91085156666738e+004	(1.08383047829651e+000dB,9.61713753473382e+001°)
2.04799999999999e+004	(4.89273837409390e-001dB,9.57153390993108e+001°)
2.19499205127432e+004	(-1.06165252972873e-001dB,9.52859059295641e+001°)
2.35253423103392e+004	(-7.02363155608852e-001dB,9.48811735021786e+001°)
2.52138375853038e+004	(-1.29920993094662e+000dB,9.44993285446901e+001°)
2.70235220126288e+004	(-1.89660743829933e+000dB,9.41386435834069e+001°)
2.89630937574009e+004	(-2.49446761298595e+000dB,9.37974731213140e+001°)
3.10418752821329e+004	(-3.09271089835348e+000dB,9.34742494114268e+001°)
3.32698581547513e+004	(-3.69126481181771e+000dB,9.31674779484813e+001°)
3.56577510726092e+004	(-4.29006262451099e+000dB,9.28757327767956e+001°)
3.82170313333475e+004	(-4.88904213468326e+000dB,9.25976516913922e+001°)
4.09599999999999e+004	(-5.48814451556896e+000dB,9.23319313924426e+001°)
4.38998410254865e+004	(-6.08731321893580e+000dB,9.20773226392658e+001°)
4.70506846206784e+004	(-6.68649291591856e+000dB,9.18326254390129e+001°)
5.04276751706076e+004	(-7.28562845697194e+000dB,9.15966842964150e+001°)
5.40470440252576e+004	(-7.88466383282090e+000dB,9.13683835442155e+001°)
5.79261875148018e+004	(-8.48354111812431e+000dB,9.11466427688925e+001°)
6.20837505642657e+004	(-9.08219937918091e+000dB,9.09304123427841e+001°)
6.65397163095026e+004	(-9.68057352638521e+000dB,9.07186690715888e+001°)
7.13155021452183e+004	(-1.02785930912783e+001dB,9.05104119653200e+001°)
7.64340626666951e+004	(-1.08761809069324e+001dB,9.03046581410737e+001°)
8.19199999999998e+004	(-1.14732516690627e+001dB,9.01004388673874e+001°)
8.77996820509729e+004	(-1.20697103536858e+001dB,8.98967957625378e+001°)
9.41013692413569e+004	(-1.26654504653642e+001dB,8.96927771628814e+001°)
1.00000000000000e+005	(-1.31873024287919e+001dB,8.95127696896247e+001°)
